O*NET-SOC Code,Element Name,Scale ID,Data Value,Recommend Suppress,Not Relevant
25-1043.00,Time Management,LV,3.25,N,N
25-1043.00,Management of Financial Resources,IM,2,N,
25-1043.00,Management of Financial Resources,LV,1.75,N,N
25-1043.00,Management of Material Resources,IM,2,N,
25-1043.00,Management of Material Resources,LV,1.75,N,N
25-1043.00,Management of Personnel Resources,IM,2.88,N,
25-1043.00,Management of Personnel Resources,LV,3,N,N
25-1051.00,Reading Comprehension,IM,4,N,
25-1051.00,Reading Comprehension,LV,5.12,N,N
25-1051.00,Active Listening,IM,4,N,
25-1051.00,Active Listening,LV,4.62,N,N
25-1051.00,Writing,IM,4,N,
25-1051.00,Writing,LV,4.75,N,N
25-1051.00,Speaking,IM,4.75,N,
25-1051.00,Speaking,LV,4.75,N,N
25-1051.00,Mathematics,IM,3.38,N,
25-1051.00,Mathematics,LV,4,N,N
25-1051.00,Science,IM,4,N,
25-1051.00,Science,LV,4.12,N,N
25-1051.00,Critical Thinking,IM,4,N,
25-1051.00,Critical Thinking,LV,4.25,N,N
25-1051.00,Active Learning,IM,3.88,N,
25-1051.00,Active Learning,LV,4.25,N,N
25-1051.00,Learning Strategies,IM,3.88,N,
25-1051.00,Learning Strategies,LV,4.25,N,N
25-1051.00,Monitoring,IM,3.62,N,
25-1051.00,Monitoring,LV,4.12,N,N
25-1051.00,Social Perceptiveness,IM,3.12,N,
25-1051.00,Social Perceptiveness,LV,3.62,N,N
25-1051.00,Coordination,IM,3,N,
25-1051.00,Coordination,LV,3.12,N,N
25-1051.00,Persuasion,IM,2.88,N,
25-1051.00,Persuasion,LV,3,N,N
25-1051.00,Negotiation,IM,2.88,N,
25-1051.00,Negotiation,LV,3,N,N
25-1051.00,Instructing,IM,4,N,
25-1051.00,Instructing,LV,4.25,N,N
25-1051.00,Service Orientation,IM,3,N,
25-1051.00,Service Orientation,LV,3.25,N,N
25-1051.00,Complex Problem Solving,IM,3.75,N,
25-1051.00,Complex Problem Solving,LV,3.88,N,N
25-1051.00,Operations Analysis,IM,2.38,N,
25-1051.00,Operations Analysis,LV,2.88,N,N
25-1051.00,Technology Design,IM,1.75,N,
25-1051.00,Technology Design,LV,0.75,N,N
25-1051.00,Equipment Selection,IM,1,N,
25-1051.00,Equipment Selection,LV,0,N,Y
25-1051.00,Installation,IM,1,N,
25-1051.00,Installation,LV,0,N,Y
25-1051.00,Programming,IM,1.88,N,
25-1051.00,Programming,LV,1,N,N
25-1051.00,Operations Monitoring,IM,1.75,N,
25-1051.00,Operations Monitoring,LV,1,N,N
25-1051.00,Operation and Control,IM,1,N,
25-1051.00,Operation and Control,LV,0,N,Y
25-1051.00,Equipment Maintenance,IM,1,N,
25-1051.00,Equipment Maintenance,LV,0,N,Y
25-1051.00,Troubleshooting,IM,1.12,N,
25-1051.00,Troubleshooting,LV,0.12,N,Y
25-1051.00,Repairing,IM,1,N,
25-1051.00,Repairing,LV,0,N,Y
25-1051.00,Quality Control Analysis,IM,1.62,N,
25-1051.00,Quality Control Analysis,LV,0.75,N,N
25-1051.00,Judgment and Decision Making,IM,3.5,N,
25-1051.00,Judgment and Decision Making,LV,4,N,N
25-1051.00,Systems Analysis,IM,3.12,N,
25-1051.00,Systems Analysis,LV,3.62,N,N
25-1051.00,Systems Evaluation,IM,3,N,
25-1051.00,Systems Evaluation,LV,3.25,N,N
25-1051.00,Time Management,IM,3,N,
25-1051.00,Time Management,LV,3.62,N,N
25-1051.00,Management of Financial Resources,IM,1.75,N,
25-1051.00,Management of Financial Resources,LV,1.38,N,N
25-1051.00,Management of Material Resources,IM,2.12,N,
25-1051.00,Management of Material Resources,LV,2.12,N,N
25-1051.00,Management of Personnel Resources,IM,2.88,N,
25-1051.00,Management of Personnel Resources,LV,2.88,N,N
25-1052.00,Reading Comprehension,IM,4.12,N,
25-1052.00,Reading Comprehension,LV,5,N,N
25-1052.00,Active Listening,IM,4,N,
25-1052.00,Active Listening,LV,4,N,N
25-1052.00,Writing,IM,4.12,N,
25-1052.00,Writing,LV,4.88,N,N
25-1052.00,Speaking,IM,4.12,N,
25-1052.00,Speaking,LV,5,N,N
25-1052.00,Mathematics,IM,3.25,N,
25-1052.00,Mathematics,LV,3.75,N,N
25-1052.00,Science,IM,4,N,
25-1052.00,Science,LV,4.25,N,N
25-1052.00,Critical Thinking,IM,4,N,
25-1052.00,Critical Thinking,LV,4,N,N
25-1052.00,Active Learning,IM,4,N,
25-1052.00,Active Learning,LV,4,N,N
25-1052.00,Learning Strategies,IM,4,N,
25-1052.00,Learning Strategies,LV,4,N,N
25-1052.00,Monitoring,IM,4,N,
25-1052.00,Monitoring,LV,4,N,N
25-1052.00,Social Perceptiveness,IM,3.25,N,
25-1052.00,Social Perceptiveness,LV,3.38,N,N
25-1052.00,Coordination,IM,3,N,
25-1052.00,Coordination,LV,3,N,N
25-1052.00,Persuasion,IM,3,N,
25-1052.00,Persuasion,LV,3,N,N
25-1052.00,Negotiation,IM,2.38,N,
25-1052.00,Negotiation,LV,2.38,N,N
25-1052.00,Instructing,IM,3.88,N,
25-1052.00,Instructing,LV,4.62,N,N
25-1052.00,Service Orientation,IM,3,N,
25-1052.00,Service Orientation,LV,3,N,N
25-1052.00,Complex Problem Solving,IM,3.88,N,
25-1052.00,Complex Problem Solving,LV,4,N,N
25-1052.00,Operations Analysis,IM,2.62,N,
25-1052.00,Operations Analysis,LV,3,N,N
25-1052.00,Technology Design,IM,1.88,N,
25-1052.00,Technology Design,LV,1.25,N,N
25-1052.00,Equipment Selection,IM,1.62,N,
25-1052.00,Equipment Selection,LV,0.88,N,N
25-1052.00,Installation,IM,1,N,
25-1052.00,Installation,LV,0,N,Y
25-1052.00,Programming,IM,1.88,N,
25-1052.00,Programming,LV,1.12,N,N
25-1052.00,Operations Monitoring,IM,2,N,
25-1052.00,Operations Monitoring,LV,1.88,N,N
25-1052.00,Operation and Control,IM,1.12,N,
25-1052.00,Operation and Control,LV,0.25,N,Y
25-1052.00,Equipment Maintenance,IM,1.12,N,
25-1052.00,Equipment Maintenance,LV,0.12,N,Y
25-1052.00,Troubleshooting,IM,2,N,
25-1052.00,Troubleshooting,LV,1.12,N,N
25-1052.00,Repairing,IM,1,N,
25-1052.00,Repairing,LV,0,N,Y
25-1052.00,Quality Control Analysis,IM,2.38,N,
25-1052.00,Quality Control Analysis,LV,2.12,N,N
25-1052.00,Judgment and Decision Making,IM,3.62,N,
25-1052.00,Judgment and Decision Making,LV,3.75,N,N
25-1052.00,Systems Analysis,IM,3.12,N,
25-1052.00,Systems Analysis,LV,3.25,N,N
25-1052.00,Systems Evaluation,IM,2.88,N,
25-1052.00,Systems Evaluation,LV,3.12,N,N
25-1052.00,Time Management,IM,3,N,
25-1052.00,Time Management,LV,3.62,N,N
25-1052.00,Management of Financial Resources,IM,2.12,N,
25-1052.00,Management of Financial Resources,LV,1.75,N,N
25-1052.00,Management of Material Resources,IM,2,N,
25-1052.00,Management of Material Resources,LV,1.75,N,N
25-1052.00,Management of Personnel Resources,IM,2.75,N,
25-1052.00,Management of Personnel Resources,LV,3,N,N
25-1053.00,Reading Comprehension,IM,4.12,N,
25-1053.00,Reading Comprehension,LV,5,N,N
25-1053.00,Active Listening,IM,4,N,
25-1053.00,Active Listening,LV,4.25,N,N
25-1053.00,Writing,IM,4,N,
25-1053.00,Writing,LV,4.75,N,N
25-1053.00,Speaking,IM,4.12,N,
25-1053.00,Speaking,LV,4.5,N,N
25-1053.00,Mathematics,IM,3,N,
25-1053.00,Mathematics,LV,3.25,N,N
25-1053.00,Science,IM,4,N,
25-1053.00,Science,LV,4.5,N,N
25-1053.00,Critical Thinking,IM,4,N,
25-1053.00,Critical Thinking,LV,4.25,N,N
25-1053.00,Active Learning,IM,3.88,N,
25-1053.00,Active Learning,LV,4.25,N,N
25-1053.00,Learning Strategies,IM,4,N,
25-1053.00,Learning Strategies,LV,4.25,N,N
25-1053.00,Monitoring,IM,3.88,N,
25-1053.00,Monitoring,LV,4,N,N
25-1053.00,Social Perceptiveness,IM,3,N,
25-1053.00,Social Perceptiveness,LV,3.62,N,N
25-1053.00,Coordination,IM,3,N,
25-1053.00,Coordination,LV,3.25,N,N
25-1053.00,Persuasion,IM,2.88,N,
25-1053.00,Persuasion,LV,3,N,N
25-1053.00,Negotiation,IM,2.75,N,
25-1053.00,Negotiation,LV,2.88,N,N
25-1053.00,Instructing,IM,4,N,
25-1053.00,Instructing,LV,4.38,N,N
25-1053.00,Service Orientation,IM,3,N,
25-1053.00,Service Orientation,LV,3.12,N,N
25-1053.00,Complex Problem Solving,IM,3.75,N,
25-1053.00,Complex Problem Solving,LV,3.88,N,N
25-1053.00,Operations Analysis,IM,2.5,N,
25-1053.00,Operations Analysis,LV,2.88,N,N
25-1053.00,Technology Design,IM,1.38,N,
25-1053.00,Technology Design,LV,0.38,N,N
25-1053.00,Equipment Selection,IM,1,N,
25-1053.00,Equipment Selection,LV,0,N,Y
25-1053.00,Installation,IM,1,N,
25-1053.00,Installation,LV,0,N,Y
25-1053.00,Programming,IM,1.38,N,
25-1053.00,Programming,LV,0.38,N,N
25-1053.00,Operations Monitoring,IM,1.75,N,
25-1053.00,Operations Monitoring,LV,0.88,N,N
25-1053.00,Operation and Control,IM,1,N,
25-1053.00,Operation and Control,LV,0,N,Y
25-1053.00,Equipment Maintenance,IM,1,N,
25-1053.00,Equipment Maintenance,LV,0,N,Y
25-1053.00,Troubleshooting,IM,1.38,N,
25-1053.00,Troubleshooting,LV,0.5,N,N
25-1053.00,Repairing,IM,1,N,
25-1053.00,Repairing,LV,0,N,Y
25-1053.00,Quality Control Analysis,IM,1.88,N,
25-1053.00,Quality Control Analysis,LV,1.38,N,N
25-1053.00,Judgment and Decision Making,IM,3.25,N,
25-1053.00,Judgment and Decision Making,LV,3.88,N,N
25-1053.00,Systems Analysis,IM,3.12,N,
25-1053.00,Systems Analysis,LV,3.12,N,N
25-1053.00,Systems Evaluation,IM,3.12,N,
25-1053.00,Systems Evaluation,LV,3.12,N,N
25-1053.00,Time Management,IM,3,N,
25-1053.00,Time Management,LV,3.5,N,N
25-1053.00,Management of Financial Resources,IM,1.75,N,
25-1053.00,Management of Financial Resources,LV,1.5,N,N
25-1053.00,Management of Material Resources,IM,2,N,
25-1053.00,Management of Material Resources,LV,2,N,N
25-1053.00,Management of Personnel Resources,IM,2.75,N,
25-1053.00,Management of Personnel Resources,LV,2.88,N,N
25-1054.00,Reading Comprehension,IM,4.12,N,
25-1054.00,Reading Comprehension,LV,5,N,N
25-1054.00,Active Listening,IM,4,N,
25-1054.00,Active Listening,LV,4.62,N,N
25-1054.00,Writing,IM,4,N,
25-1054.00,Writing,LV,5,N,N
25-1054.00,Speaking,IM,4.12,N,
25-1054.00,Speaking,LV,5,N,N
25-1054.00,Mathematics,IM,3.62,N,
25-1054.00,Mathematics,LV,4,N,N
25-1054.00,Science,IM,4.12,N,
25-1054.00,Science,LV,4.62,N,N
25-1054.00,Critical Thinking,IM,4,N,
25-1054.00,Critical Thinking,LV,4.88,N,N
25-1054.00,Active Learning,IM,4,N,
25-1054.00,Active Learning,LV,4.38,N,N
25-1054.00,Learning Strategies,IM,4,N,
25-1054.00,Learning Strategies,LV,4.38,N,N
25-1054.00,Monitoring,IM,3.62,N,
25-1054.00,Monitoring,LV,4,N,N
25-1054.00,Social Perceptiveness,IM,3.12,N,
25-1054.00,Social Perceptiveness,LV,3.12,N,N
25-1054.00,Coordination,IM,3.12,N,
25-1054.00,Coordination,LV,3.12,N,N
25-1054.00,Persuasion,IM,3,N,
25-1054.00,Persuasion,LV,3,N,N
25-1054.00,Negotiation,IM,2.5,N,
25-1054.00,Negotiation,LV,2.5,N,N
25-1054.00,Instructing,IM,4.25,N,
25-1054.00,Instructing,LV,4.38,N,N
25-1054.00,Service Orientation,IM,3,N,
25-1054.00,Service Orientation,LV,3,N,N
25-1054.00,Complex Problem Solving,IM,3.62,N,
25-1054.00,Complex Problem Solving,LV,4,N,N
25-1054.00,Operations Analysis,IM,2.62,N,
25-1054.00,Operations Analysis,LV,2.75,N,N
25-1054.00,Technology Design,IM,1.62,N,
25-1054.00,Technology Design,LV,1,N,N
25-1054.00,Equipment Selection,IM,2,N,
25-1054.00,Equipment Selection,LV,1,N,N
25-1054.00,Installation,IM,1,N,
25-1054.00,Installation,LV,0,N,Y
25-1054.00,Programming,IM,1.88,N,
25-1054.00,Programming,LV,1.12,N,N
25-1054.00,Operations Monitoring,IM,2,N,
25-1054.00,Operations Monitoring,LV,1.62,N,N
25-1054.00,Operation and Control,IM,1.62,N,
25-1054.00,Operation and Control,LV,0.62,N,N
25-1054.00,Equipment Maintenance,IM,2.12,N,
25-1054.00,Equipment Maintenance,LV,1.25,N,N
25-1054.00,Troubleshooting,IM,2.12,N,
25-1054.00,Troubleshooting,LV,1.5,N,N
25-1054.00,Repairing,IM,2.25,N,
25-1054.00,Repairing,LV,1.38,N,N
25-1054.00,Quality Control Analysis,IM,2.12,N,
25-1054.00,Quality Control Analysis,LV,2.12,N,N
25-1054.00,Judgment and Decision Making,IM,3.75,N,
25-1054.00,Judgment and Decision Making,LV,3.88,N,N
25-1054.00,Systems Analysis,IM,2.88,N,
25-1054.00,Systems Analysis,LV,3.12,N,N
25-1054.00,Systems Evaluation,IM,2.88,N,
25-1054.00,Systems Evaluation,LV,3,N,N
25-1054.00,Time Management,IM,3.25,N,
25-1054.00,Time Management,LV,3.12,N,N
25-1054.00,Management of Financial Resources,IM,2,N,
25-1054.00,Management of Financial Resources,LV,1.38,N,N
25-1054.00,Management of Material Resources,IM,2,N,
25-1054.00,Management of Material Resources,LV,2,N,N
25-1054.00,Management of Personnel Resources,IM,3,N,
25-1054.00,Management of Personnel Resources,LV,3.12,N,N
25-1061.00,Reading Comprehension,IM,4.75,N,
25-1061.00,Reading Comprehension,LV,5,N,N
25-1061.00,Active Listening,IM,4.38,N,
25-1061.00,Active Listening,LV,4.75,N,N
25-1061.00,Writing,IM,4.62,N,
25-1061.00,Writing,LV,5,N,N
25-1061.00,Speaking,IM,4.88,N,
25-1061.00,Speaking,LV,4.88,N,N
25-1061.00,Mathematics,IM,2.62,N,
25-1061.00,Mathematics,LV,3,N,N
25-1061.00,Science,IM,3.75,N,
25-1061.00,Science,LV,3.88,N,N
25-1061.00,Critical Thinking,IM,4,N,
25-1061.00,Critical Thinking,LV,4.5,N,N
25-1061.00,Active Learning,IM,4.25,N,
25-1061.00,Active Learning,LV,4.75,N,N
25-1061.00,Learning Strategies,IM,4.38,N,
25-1061.00,Learning Strategies,LV,5,N,N
25-1061.00,Monitoring,IM,3.88,N,
25-1061.00,Monitoring,LV,4.25,N,N
25-1061.00,Social Perceptiveness,IM,3.5,N,
25-1061.00,Social Perceptiveness,LV,3.75,N,N
25-1061.00,Coordination,IM,3.25,N,
25-1061.00,Coordination,LV,3.25,N,N
25-1061.00,Persuasion,IM,3,N,
25-1061.00,Persuasion,LV,3,N,N
25-1061.00,Negotiation,IM,2.88,N,
25-1061.00,Negotiation,LV,2.88,N,N
25-1061.00,Instructing,IM,4.5,N,
25-1061.00,Instructing,LV,4.75,N,N
25-1061.00,Service Orientation,IM,3,N,
25-1061.00,Service Orientation,LV,3.12,N,N
25-1061.00,Complex Problem Solving,IM,3.62,N,
25-1061.00,Complex Problem Solving,LV,3.75,N,N
25-1061.00,Operations Analysis,IM,2.12,N,
25-1061.00,Operations Analysis,LV,2.12,N,N
25-1061.00,Technology Design,IM,1.62,N,
25-1061.00,Technology Design,LV,0.62,N,N
25-1061.00,Equipment Selection,IM,1,N,
25-1061.00,Equipment Selection,LV,0,N,Y
25-1061.00,Installation,IM,1,N,
25-1061.00,Installation,LV,0,N,Y
25-1061.00,Programming,IM,1.5,N,
25-1061.00,Programming,LV,0.62,N,N
25-1061.00,Operations Monitoring,IM,1.25,N,
25-1061.00,Operations Monitoring,LV,0.25,N,Y
25-1061.00,Operation and Control,IM,1,N,
25-1061.00,Operation and Control,LV,0,N,Y
25-1061.00,Equipment Maintenance,IM,1,N,
25-1061.00,Equipment Maintenance,LV,0,N,Y
25-1061.00,Troubleshooting,IM,1,N,
25-1061.00,Troubleshooting,LV,0,N,Y
25-1061.00,Repairing,IM,1,N,
25-1061.00,Repairing,LV,0,N,Y
25-1061.00,Quality Control Analysis,IM,1.25,N,
25-1061.00,Quality Control Analysis,LV,0.38,N,Y
25-1061.00,Judgment and Decision Making,IM,3.75,N,
25-1061.00,Judgment and Decision Making,LV,4,N,N
25-1061.00,Systems Analysis,IM,3.12,N,
25-1061.00,Systems Analysis,LV,3.12,N,N
25-1061.00,Systems Evaluation,IM,3.12,N,
25-1061.00,Systems Evaluation,LV,3.38,N,N
25-1061.00,Time Management,IM,3.75,N,
25-1061.00,Time Management,LV,3.62,N,N
25-1061.00,Management of Financial Resources,IM,1.62,N,
25-1061.00,Management of Financial Resources,LV,0.62,N,N
25-1061.00,Management of Material Resources,IM,1.88,N,
25-1061.00,Management of Material Resources,LV,1,N,N
25-1061.00,Management of Personnel Resources,IM,2.88,N,
25-1061.00,Management of Personnel Resources,LV,3.25,N,N
25-1062.00,Reading Comprehension,IM,4.25,N,
25-1062.00,Reading Comprehension,LV,4.88,N,N
25-1062.00,Active Listening,IM,4,N,
25-1062.00,Active Listening,LV,4.25,N,N
25-1062.00,Writing,IM,4,N,
25-1062.00,Writing,LV,4.88,N,N
25-1062.00,Speaking,IM,4.12,N,
25-1062.00,Speaking,LV,4.75,N,N
25-1062.00,Mathematics,IM,2,N,
25-1062.00,Mathematics,LV,2.12,N,N
25-1062.00,Science,IM,2.5,N,
25-1062.00,Science,LV,2.75,N,N
25-1062.00,Critical Thinking,IM,3.88,N,
25-1062.00,Critical Thinking,LV,4.12,N,N
25-1062.00,Active Learning,IM,4,N,
25-1062.00,Active Learning,LV,4,N,N
25-1062.00,Learning Strategies,IM,4,N,
25-1062.00,Learning Strategies,LV,4,N,N
25-1062.00,Monitoring,IM,3.12,N,
25-1062.00,Monitoring,LV,3.88,N,N
25-1062.00,Social Perceptiveness,IM,3.38,N,
25-1062.00,Social Perceptiveness,LV,3.5,N,N
25-1062.00,Coordination,IM,3,N,
25-1062.00,Coordination,LV,3,N,N
25-1062.00,Persuasion,IM,3.12,N,
25-1062.00,Persuasion,LV,3.12,N,N
25-1062.00,Negotiation,IM,2.62,N,
25-1062.00,Negotiation,LV,2.38,N,N
25-1062.00,Instructing,IM,4.12,N,
25-1062.00,Instructing,LV,3.88,N,N
25-1062.00,Service Orientation,IM,3.12,N,
25-1062.00,Service Orientation,LV,3,N,N
25-1062.00,Complex Problem Solving,IM,3.88,N,
25-1062.00,Complex Problem Solving,LV,3.62,N,N
25-1062.00,Operations Analysis,IM,2.75,N,
25-1062.00,Operations Analysis,LV,2.75,N,N
25-1062.00,Technology Design,IM,1.88,N,
25-1062.00,Technology Design,LV,1,N,N
25-1062.00,Equipment Selection,IM,1,N,
25-1062.00,Equipment Selection,LV,0,N,Y
25-1062.00,Installation,IM,1,N,
25-1062.00,Installation,LV,0,N,Y
25-1062.00,Programming,IM,1.75,N,
25-1062.00,Programming,LV,1,N,N
25-1062.00,Operations Monitoring,IM,1.38,N,
25-1062.00,Operations Monitoring,LV,0.38,N,N
25-1062.00,Operation and Control,IM,1,N,
25-1062.00,Operation and Control,LV,0,N,Y
25-1062.00,Equipment Maintenance,IM,1,N,
25-1062.00,Equipment Maintenance,LV,0,N,Y
25-1062.00,Troubleshooting,IM,1,N,
25-1062.00,Troubleshooting,LV,0,N,Y
25-1062.00,Repairing,IM,1,N,
25-1062.00,Repairing,LV,0,N,Y
25-1062.00,Quality Control Analysis,IM,1.5,N,
25-1062.00,Quality Control Analysis,LV,0.62,N,N
25-1062.00,Judgment and Decision Making,IM,3.25,N,
25-1062.00,Judgment and Decision Making,LV,3.62,N,N
25-1062.00,Systems Analysis,IM,3.12,N,
25-1062.00,Systems Analysis,LV,3,N,N
25-1062.00,Systems Evaluation,IM,3.12,N,
25-1062.00,Systems Evaluation,LV,3,N,N
25-1062.00,Time Management,IM,3.25,N,
25-1062.00,Time Management,LV,3.75,N,N
25-1062.00,Management of Financial Resources,IM,2.12,N,
25-1062.00,Management of Financial Resources,LV,1.62,N,N
25-1062.00,Management of Material Resources,IM,2,N,
25-1062.00,Management of Material Resources,LV,1.62,N,N
25-1062.00,Management of Personnel Resources,IM,2.88,N,
25-1062.00,Management of Personnel Resources,LV,3.12,N,N
25-1063.00,Reading Comprehension,IM,4,N,
25-1063.00,Reading Comprehension,LV,4.38,N,N
25-1063.00,Active Listening,IM,4,N,
25-1063.00,Active Listening,LV,4.12,N,N
25-1063.00,Writing,IM,4,N,
25-1063.00,Writing,LV,4.12,N,N
25-1063.00,Speaking,IM,4.12,N,
25-1063.00,Speaking,LV,4.25,N,N
25-1063.00,Mathematics,IM,3.25,N,
25-1063.00,Mathematics,LV,3.75,N,N
25-1063.00,Science,IM,2.38,N,
25-1063.00,Science,LV,2.88,N,N
25-1063.00,Critical Thinking,IM,3.88,N,
25-1063.00,Critical Thinking,LV,4.12,N,N
25-1063.00,Active Learning,IM,3.75,N,
25-1063.00,Active Learning,LV,4.12,N,N
25-1063.00,Learning Strategies,IM,3.88,N,
25-1063.00,Learning Strategies,LV,4,N,N
25-1063.00,Monitoring,IM,3,N,
25-1063.00,Monitoring,LV,3.62,N,N
25-1063.00,Social Perceptiveness,IM,3,N,
25-1063.00,Social Perceptiveness,LV,3.5,N,N
25-1063.00,Coordination,IM,2.88,N,
25-1063.00,Coordination,LV,3,N,N
25-1063.00,Persuasion,IM,2.62,N,
25-1063.00,Persuasion,LV,2.5,N,N
25-1063.00,Negotiation,IM,2.38,N,
25-1063.00,Negotiation,LV,2.12,N,N
25-1063.00,Instructing,IM,4,N,
25-1063.00,Instructing,LV,4.25,N,N
25-1063.00,Service Orientation,IM,2.75,N,
25-1063.00,Service Orientation,LV,2.75,N,N
25-1063.00,Complex Problem Solving,IM,3.25,N,
25-1063.00,Complex Problem Solving,LV,3.62,N,N
25-1063.00,Operations Analysis,IM,2.62,N,
25-1063.00,Operations Analysis,LV,2.75,N,N
25-1063.00,Technology Design,IM,1.75,N,
25-1063.00,Technology Design,LV,0.75,N,N
25-1063.00,Equipment Selection,IM,1,N,
25-1063.00,Equipment Selection,LV,0,N,Y
25-1063.00,Installation,IM,1,N,
25-1063.00,Installation,LV,0,N,Y
25-1063.00,Programming,IM,1.88,N,
25-1063.00,Programming,LV,1.38,N,N
25-1063.00,Operations Monitoring,IM,1.75,N,
25-1063.00,Operations Monitoring,LV,1.12,N,N
25-1063.00,Operation and Control,IM,1,N,
25-1063.00,Operation and Control,LV,0,N,Y
25-1063.00,Equipment Maintenance,IM,1,N,
25-1063.00,Equipment Maintenance,LV,0,N,Y
25-1063.00,Troubleshooting,IM,1,N,
25-1063.00,Troubleshooting,LV,0,N,Y
25-1063.00,Repairing,IM,1,N,
25-1063.00,Repairing,LV,0,N,Y
25-1063.00,Quality Control Analysis,IM,1.25,N,
25-1063.00,Quality Control Analysis,LV,0.25,N,Y
25-1063.00,Judgment and Decision Making,IM,3.38,N,
25-1063.00,Judgment and Decision Making,LV,3.88,N,N
25-1063.00,Systems Analysis,IM,3,N,
25-1063.00,Systems Analysis,LV,3.12,N,N
25-1063.00,Systems Evaluation,IM,3.12,N,
25-1063.00,Systems Evaluation,LV,3.12,N,N
25-1063.00,Time Management,IM,2.88,N,
25-1063.00,Time Management,LV,3,N,N
25-1063.00,Management of Financial Resources,IM,1.75,N,
25-1063.00,Management of Financial Resources,LV,1.12,N,N
25-1063.00,Management of Material Resources,IM,1.75,N,
25-1063.00,Management of Material Resources,LV,0.88,N,N
25-1063.00,Management of Personnel Resources,IM,2.75,N,
25-1063.00,Management of Personnel Resources,LV,2.62,N,N
25-1064.00,Reading Comprehension,IM,4,N,
25-1064.00,Reading Comprehension,LV,4.75,N,N
25-1064.00,Active Listening,IM,4,N,
25-1064.00,Active Listening,LV,4,N,N
25-1064.00,Writing,IM,4.12,N,
25-1064.00,Writing,LV,4.88,N,N
25-1064.00,Speaking,IM,4.12,N,
25-1064.00,Speaking,LV,4.88,N,N
25-1064.00,Mathematics,IM,2.75,N,
25-1064.00,Mathematics,LV,3,N,N
25-1064.00,Science,IM,3.12,N,
25-1064.00,Science,LV,3.5,N,N
25-1064.00,Critical Thinking,IM,3.88,N,
25-1064.00,Critical Thinking,LV,4,N,N
25-1064.00,Active Learning,IM,3.88,N,
25-1064.00,Active Learning,LV,4.12,N,N
25-1064.00,Learning Strategies,IM,3.88,N,
25-1064.00,Learning Strategies,LV,3.88,N,N
25-1064.00,Monitoring,IM,3.12,N,
25-1064.00,Monitoring,LV,3.88,N,N
25-1064.00,Social Perceptiveness,IM,3.12,N,
25-1064.00,Social Perceptiveness,LV,3.25,N,N
25-1064.00,Coordination,IM,3,N,
25-1064.00,Coordination,LV,3.38,N,N
25-1064.00,Persuasion,IM,3,N,
25-1064.00,Persuasion,LV,3.12,N,N
25-1064.00,Negotiation,IM,2.88,N,
25-1064.00,Negotiation,LV,3,N,N
25-1064.00,Instructing,IM,4.12,N,
25-1064.00,Instructing,LV,4.75,N,N
25-1064.00,Service Orientation,IM,2.88,N,
25-1064.00,Service Orientation,LV,3,N,N
25-1064.00,Complex Problem Solving,IM,3.88,N,
25-1064.00,Complex Problem Solving,LV,3.75,N,N
25-1064.00,Operations Analysis,IM,2.5,N,
25-1064.00,Operations Analysis,LV,2.5,N,N
25-1064.00,Technology Design,IM,1.88,N,
25-1064.00,Technology Design,LV,1.12,N,N
25-1064.00,Equipment Selection,IM,1,N,
25-1064.00,Equipment Selection,LV,0,N,Y
25-1064.00,Installation,IM,1,N,
25-1064.00,Installation,LV,0,N,Y
25-1064.00,Programming,IM,2,N,
25-1064.00,Programming,LV,1.38,N,N
25-1064.00,Operations Monitoring,IM,1.38,N,
25-1064.00,Operations Monitoring,LV,0.5,N,N
25-1064.00,Operation and Control,IM,1,N,
25-1064.00,Operation and Control,LV,0,N,Y
25-1064.00,Equipment Maintenance,IM,1,N,
25-1064.00,Equipment Maintenance,LV,0,N,Y
25-1064.00,Troubleshooting,IM,1,N,
25-1064.00,Troubleshooting,LV,0,N,Y
25-1064.00,Repairing,IM,1,N,
25-1064.00,Repairing,LV,0,N,Y
25-1064.00,Quality Control Analysis,IM,1.25,N,
25-1064.00,Quality Control Analysis,LV,0.38,N,Y
25-1064.00,Judgment and Decision Making,IM,3.25,N,
25-1064.00,Judgment and Decision Making,LV,3.75,N,N
25-1064.00,Systems Analysis,IM,3,N,
25-1064.00,Systems Analysis,LV,3,N,N
25-1064.00,Systems Evaluation,IM,2.88,N,
25-1064.00,Systems Evaluation,LV,3,N,N
25-1064.00,Time Management,IM,3.25,N,
25-1064.00,Time Management,LV,3.25,N,N
25-1064.00,Management of Financial Resources,IM,2,N,
25-1064.00,Management of Financial Resources,LV,1.38,N,N
25-1064.00,Management of Material Resources,IM,2,N,
25-1064.00,Management of Material Resources,LV,1.25,N,N
25-1064.00,Management of Personnel Resources,IM,2.88,N,
25-1064.00,Management of Personnel Resources,LV,3,N,N
25-1065.00,Reading Comprehension,IM,4.12,N,
25-1065.00,Reading Comprehension,LV,4.88,N,N
25-1065.00,Active Listening,IM,4,N,
25-1065.00,Active Listening,LV,4,N,N
25-1065.00,Writing,IM,4,N,
25-1065.00,Writing,LV,4.88,N,N
25-1065.00,Speaking,IM,4.62,N,
25-1065.00,Speaking,LV,5,N,N
25-1065.00,Mathematics,IM,2,N,
25-1065.00,Mathematics,LV,2.12,N,N
25-1065.00,Science,IM,2.38,N,
25-1065.00,Science,LV,2.25,N,N
25-1065.00,Critical Thinking,IM,3.88,N,
